Department/Agency,Medium,Publication,catagory,status,year,Publication Web Address
Office of the Ethics Commissioner,Online,Office of the Ethics Commissioner Annual Report 2011/2012,government,404,2012,"""http://www.ethicscommissioner.ab.ca/oec/Annual%20Reports/Annual%20Report%2011-12.pdf"""
Premier’s  Council on the Status of Persons with Disabilities,Online,Premier’s Council on the Status of Persons with Disabilities Annual Report 2011-2012,labor,200,2012,"""http://humanservices.alberta.ca/documents/premiers-council-annual-report-2012.pdf"""
Safety Codes Council,Online,2011 Safety Codes System Report to the Minster of Municipal Affairs 2011,government,404,2012,"""http://www.safetycodes.ab.ca/Public/Documents/23342%20SCC-SystemReport%20web.pdf"""
Senior Advisory Council for Alberta,Online,Senior Advisory Council for Alberta Annual Report 2011-2012,law_order,404,2012,"""http://www.health.alberta.ca/documents/SACA-AnnualReport-2012.pdf"""
Service Alberta,Online,Administrative Records Disposition Authority (ARDA) Schedule Number: 1986/050-A015 (October 2012),culture_people,404,2012,"""http://www.rimp.gov.ab.ca/publications/pdf/ARDA.pdf"""
"Tourism, Parks and Recreation",Online,Alberta Tourism Market Monitor (data),culture_people,404,2012,"""http://tpr.alberta.ca/tourism/statistics/docs/Monitor2012Novemberexcel.pdf"""
"Tourism, Parks and Recreation",Online,Alberta Tourism Market Monitor (data) (October 2012),culture_people,404,2012,"""http://www.tpr.alberta.ca/tourism/statistics/docs/Monitor2012Octoberexcel.pdf"""
"Tourism, Parks and Recreation",Online,Alberta Tourism Market Monitor (data) September 2012,culture_people,404,2012,
"Tourism, Parks and Recreation",Online,Alberta Tourism Market Monitor Monthly Update (November 2012),culture_people,404,2012,"""http://tpr.alberta.ca/tourism/statistics/docs/MarketMonitorNovember2012.pdf"""
"Tourism, Parks and Recreation",Online,Alberta Tourism Market Monitor Monthly Update (October 2012),culture_people,404,2012,"""http://www.tpr.alberta.ca/tourism/statistics/docs/MarketMonitorOctober2012.pdf"""
"Tourism, Parks and Recreation",Online,Alberta Tourism Market Monitor Monthly Update (September 2012),culture_people,404,2012,"""http://www.tpr.alberta.ca/tourism/statistics/docs/MarketMonitorSeptember2012.pdf"""
Transportation,Print,Info2know Changes to impaired driving penalties in effect summer 2012,energy_transportation,404,2012,
Transportation,Print,Info2know Changes to impaired driving penalties will make our roads safer for everyone,energy_transportation,404,2012,
Transportation,Print,Info2know Enjoy responsibly,energy_transportation,404,2012,
Travel Alberta,Online,Best of Buzz (November 2012),energy_transportation,404,2012,"""https://industry.travelalberta.com/News/~/media/Industry/Attachments/News%202012/NOV.pdf"""
Travel Alberta,Online,Best of Buzz (October 2012),energy_transportation,404,2012,"""https://industry.travelalberta.com/News/~/media/Industry/Attachments/News%202012/OCT.pdf"""
Travel Alberta,Online,Travel Alberta 2011-2012 Annual Report,energy_transportation,404,2012,"""http://industry.travelalberta.com/Industry/About%20Us/~/media/Industry/Attachments/About%20Us/Corporate%20Publications/travelalberta2012annualreport.pdf"""
Travel Alberta,Online,Travel Alberta's 2013 Industry Partnership Planner,energy_transportation,404,2012,"""https://industry.travelalberta.com/News/~/media/Industry/Attachments/Programs/Coop%20Marketing/2013TravelAlbertaPartnerPlanner.pdf"""
Treasury Board and Finance,Online,"2011 Census of Canada Language (October 30, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/census/2011/2011-census-language.pdf"""
Treasury Board and Finance,Print,2012-13 Second Quarter Fiscal Update and Economic Statement (November 2012),economics_finnace,200,2012,"""http://www.finance.alberta.ca/publications/budget/quarterly/2012/2012-2nd-quarter-report.pdf#page=11"""
Treasury Board and Finance,Online,Alberta Components of Growth by Quarter Data Tables (from 1971-72 on),economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/population_reports/Alberta-Components-of-Population-Growth.xls"""
Treasury Board and Finance,Online,Alberta Components of Growth by Quarter Data Tables (from 1971-72 on),economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/population_reports/Alberta-Components-of-Population-Growth.xls"""
Treasury Board and Finance,Print,Alberta Economic Multipliers 2008,economics_finnace,200,2012,"""http://www.finance.alberta.ca/publications/statistics/order_form_economic_multipliers.pdf"""
Treasury Board and Finance,Print,Alberta Heritage Savings Trust Fund Second Quarter Update 2012 –2013,economics_finnace,200,2012,"""http://www.finance.alberta.ca/business/ahstf/quarterly-reports/2012-2ndq/Heritage-Fund-2012-13-2nd-Quarter-Report.pdf"""
Treasury Board and Finance,Online,Albertans expect government to plan for future growth,economics_finnace,200,2012,"""http://www.finance.alberta.ca/whatsnew/newsrel/2012/2nd-quarter-Horner-Albertans-expect-government-to-plan-for-future-growth.mp3"""
Treasury Board and Finance,Online,"Audio Clips - Doug Horner, President of Treasury Board and Minister of Finance Complete news conference (22:33)",economics_finnace,404,2012,"""http://soundcloud.com/government-of-alberta/q2-fiscal-update/download"""
Treasury Board and Finance,Online,Budget 2013 Survey,economics_finnace,404,2012,"""http://finance.alberta.ca/business/budget/Budget-2013-Consultation-Survey-print-version.pdf"""
Treasury Board and Finance,Online,Budget 2013 will address future needs,economics_finnace,200,2012,"""http://www.finance.alberta.ca/whatsnew/newsrel/2012/2nd-quarter-Horner-Budget-2013-will-address-future-needs.mp3"""
Treasury Board and Finance,Online,Economic Trends (October 2012),economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic-trends/2012/2012-05-economic-trends.pdf"""
Treasury Board and Finance,Online,Economic Trends (September 2012),economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic-trends/current-economic-trends.pdf"""
Treasury Board and Finance,Online,Economic Trends (September 2012),economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic-trends/2012/2012-11-economic-trends.pdf"""
Treasury Board and Finance,Online,"EPPA Update 12-02 Key Differences – Employment Pension Plans Act, 2012 (Issued November, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/publications/pensions/pdf/update-1202.pdf"""
Treasury Board and Finance,Online,Government will remain fiscally responsible,economics_finnace,200,2012,"""http://www.finance.alberta.ca/whatsnew/newsrel/2012/2nd-quarter-Horner-Government-will-remain-fiscally-responsible.mp3"""
Treasury Board and Finance,Online,Labour Market Notes December 2012,economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/labour-market-notes/2012/2012-12-labour-market-notes.pdf#page=2"""
Treasury Board and Finance,Online,Labour Market Notes November 2012,economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/labour-market-notes/2012/2012-11-labour-market-notes.pdf"""
Treasury Board and Finance,Online,Labour Market Notes October 2012,economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/labour-market-notes/2012/2012-10-labour-market-notes.pdf"""
Treasury Board and Finance,Online,Price spread on oil is affecting government revenues,economics_finnace,200,2012,"""http://www.finance.alberta.ca/whatsnew/newsrel/2012/2nd-quarter-Horner-Price-spread-on-oil-is-affecting-government-revenues.mp3"""
Treasury Board and Finance,Online,Quarterly Population Report 2nd Quarter - 2012,economics_finnace,404,2012,"""http://www.finance.alberta.ca/aboutalberta/population_reports/2012-2ndquarter.pdf"""
Treasury Board and Finance,Online,"Quarterly Population Report 2nd Quarter - 2012 (September 28, 2012)",economics_finnace,404,2012,"""http://www.finance.alberta.ca/aboutalberta/population_reports/2012-2ndquarter.pdf"""
Treasury Board and Finance,Online,"Results-based Budgeting Year 1 Programs & Services for Review November 7, 2012",economics_finnace,404,2012,"""http://finance.alberta.ca/business/budget/results-based-budgeting-year-1-programs-and-services-review.pdf"""
Treasury Board and Finance,Online,Results-based Budgeting: Report to Albertans - November 2012,economics_finnace,404,2012,"""http://finance.alberta.ca/business/budget/2012-1107-Results-based-Budgeting-Report-to-Albertans.pdf"""
Treasury Board and Finance,Print,"Small business, big impact: Alberta small business profile 2012",economics_finnace,200,2012,"""http://albertacanada.com/files/albertacanada/SP_EH-SmallBusProfile.pdf"""
Treasury Board and Finance,Online,Taking action to keep spending in check,economics_finnace,200,2012,"""http://www.finance.alberta.ca/whatsnew/newsrel/2012/2nd-quarter-Horner-Taking-action-to-keep-spending-in-check.mp3"""
Treasury Board and Finance,Online,"Weekly Economic Review (Dec 14, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1214-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (Dec 7, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1207-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (November 16, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1116-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (November 2, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1102-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (November 23, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1123-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (November 30, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1130-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (November 9, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1109-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (October 12, 2012)",economics_finnace,200,2012,"""http://finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1012-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (October 19, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1019-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (October 26, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1026-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (October 5, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-1005-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review (September 28, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/2012-0928-alberta-economic-review.pdf"""
Treasury Board and Finance ,Online,TRA Tax Notes - Vol. 25 No. 2 (October 2012),economics_finnace,200,2012,"""http://www.finance.alberta.ca/tax_notes/Publication/2012-1015.pdf"""
Energy Resource Conservation Board,Online,Regulating unconventional oil & gas in Alberta : a discussion paper,energy_transportation,200,2012,"""http://www.ercb.ca/projects/URF/URF_DiscussionPaper_20121217.pdf"""
Agriculture and Rural Development,Online and Print,2011/2012 status report irrigation rehabilitation program,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/irr12750"""
Aboriginal Relations,Online,Guide to Aboriginal Organizations and Services in Alberta,culture_people,404,2013,"""http://www.aboriginal.alberta.ca/documents/2012_AboriginalOrganizationGuide.pdf"""
Aboriginal Relations,Online,Metis Settlements and First Nations in Alberta: Community Profiles ,culture_people,404,2013,"""http://www.aboriginal.alberta.ca/documents/2012_MetisSettlementProfile.pdf"""
Aboriginal Relations,Online,Metis Settlements and First Nations in Alberta: Community Profiles,culture_people,404,2013,"""http://www.aboriginal.alberta.ca/documents/2012_MetisSettlementProfile.pdf"""
Agriculture and Rural Development,Online and Print,Farm cash receipts and 2011 farm income estimates: Alberta 2012 third quarter (January to September),economics_finnace,404,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14300/$file/FC12-3.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,"November estimates of production of principal field crops, Alberta, 2012",economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/sdd14299/$FILE/agrifoodupdatecr12-3.pdf"""
Agriculture and Rural Development,Online and Print,"Alberta food and beverage manufacturing sales, 2007-2012",economics_finnace,404,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14298/$file/agrifoodupdatefood12-01.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,"September estimate of production of principal field crops, Alberta, 2012",economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14234/$file/agrifoodupdatecr12-2.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,"July 1, 2012 livestock inventory estimates Alberta/Canada",economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14175/$file/LS12-02.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,"January 1, 2012 livestock inventory estimates Alberta/Canada",economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd13897/$file/agrifoodupdatels12-01.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,"Alberta real gross domestic product (GDP) for agri-food industries, 2010",economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd13937/$file/agrifoodupdategdp11-01.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,2011 Alberta agri-food exports,economics_finnace,404,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14105/$file/agrifoodupdateexp12-1.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,"Employment in Alberta agri-food industries, 2011",economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14119/$file/agrifoodupdateemp12-01.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Farm cash receipts and 2011 farm income estimates : Alberta 2012 first quarter (January to March),economics_finnace,404,2012,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/sdd14068/$FILE/FC12-2.pdf"""
Agriculture and Rural Development,Online and Print,Alberta 2011 farm cash receipts estimates (January-December),economics_finnace,404,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd13902/$file/FC12-1.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Economics of sugar beet production in Alberta 2010,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex12666/$FILE/171_821-5.pdf"""
Agriculture and Rural Development,Print,"Monthly livestock slaughter summary, November 2012",economics_finnace,404,2013,
Agriculture and Rural Development,Online and Print,Alberta farm input prices : average monthly prices for December 2012,economics_finnace,200,2012,"""http://www.agric.gov.ab.ca/app21/farminputprices"""
Agriculture and Rural Development,Print,Alberta retail food prices: selected communities June 2011,economics_finnace,404,2013,
Agriculture and Rural Development,Online and Print,Crop and pastureland lease and rental 2012,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14336/$file/cropandpastureland.pdf?OpenElement"""
Agriculture and Rural Development,Print,Alberta farm input prices average monthly prices for January 2013,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Edmonton nutritious food basket prices average weekly nutritious food basket prices for Edmonton ($) - January 2013,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Edmonton nutritious food basket prices : Edmonton nutritious food basket price report 2012,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Edmonton retail food prices : average monthly retail food prices for Edmonton ($) - December 2012,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Edmonton retail food prices : average monthly retail food prices for Edmonton ($) - January 2013,economics_finnace,404,2013,
Agriculture and Rural Development,Online and Print,Custom rates survey: field operations spring report 2012,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14343/$file/fieldoperationsspring2012.pdf?OpenElement"""
Agriculture and Rural Development,Print,Alberta farm input prices : average monthly prices for February 2013,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Edmonton retail food prices - February 2013,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Edmonton nutritious food basket prices - February 2013,economics_finnace,404,2013,
Agriculture and Rural Development,Online and Print,Agriculture information catalogue 2013,economics_finnace,404,2013,"""http://www.agric.gov.ab.ca/flippingbook/agdex/Infocat2013/"""
Agriculture and Rural Development,Online and Print,Alberta's agricultural processing industry directory 2013.,economics_finnace,200,2013,"""http://www.agric.gov.ab.ca/fooddirectory"""
Agriculture and Rural Development,Online and Print,Sulphur fertilizer application in crop protection.,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex3526/$file/542-10.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Fertilizer requirements of irrigated grain and oilseed crops.,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex149/$file/100_541-1.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Alberta Fusarium graminearum management plan.,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex5210/$file/110_632-3.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Selling local food directly to foodservice and hospitality,economics_finnace,404,2012,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/agdex4091/$FILE/845-17.pdf"""
Agriculture and Rural Development,Online and Print,Irrigation scheduling for silage corn in southern Alberta.,economics_finnace,200,2012,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex14256/$file/111_561-1.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Varieties of pulse crops for Alberta,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/agdex3795/$FILE/142_32-1.pdf"""
Alberta Conservation Association,Print,"Wolverine harvest summary from registered traplines in Alberta, 1985-2011",environment,404,2013,
Alberta Conservation Association,Print,"Abundance and population structure of walleye in Milk River Ridge and Forty Mile Coulee Reservoirs, 2012.",environment,404,2013,
Alberta Economic Development Authority,Print,Alberta Economic Development Authority Activity Report 2012,economics_finnace,404,2012,
Alberta Foundation for the Arts,Online,Alberta Foundation for the Arts 2011-12 Annual Report,culture_people,404,2012,"""http://www.affta.ab.ca/media/82aa78fb-4c26-41fc-bca1-520acf701d69/Annual%20Reports/AFA%20Annual%20Report%202011-12%20Final%2020120925_pdf"""
Alberta Investment Management Corporation,Print,Alberta Investment Management Corporation Annual Report 2011/12,law_order,404,2012,"""http://www.aimco.alberta.ca/pdf/AIMCo%202011-12%20Annual%20Report.pdf"""
Culture,Online,Culture Forum 2012 Report What we heard,culture_people,404,2012,"""http://www.culture.alberta.ca/about/publications/CultureForum2012ReportWhatWeHeard_FINAL.pdf"""
Education,Online and Print,Speak Out Year in Review 2011-2012,education_tech,200,2012,"""http://www.youtube.com/watch?feature=player_embedded&v=Y7ACRFd9aJ4#!"""
Education,Online and Print,"School Jurisdictions Audited Financial Statements for the Year Ended August 31, 2011",education_tech,200,2013,"""http://www.education.alberta.ca/admin/funding/audited.aspx"""
Education,Online and Print,Education Funding in Alberta Kindergarten to Grade 12 2012/2013 School Year ,education_tech,200,2012,"""http://education.alberta.ca/media/6661357/booklet.pdf"""
Education,Online and Print,Promising practices in rural elementary education: final report,education_tech,200,2012,"""http://www.education.alberta.ca/media/6807246/rural%20education%20report.pdf"""
Education,Online,Connection: Information for Teachers (English),education_tech,404,2013,"""http://education.alberta.ca/teachers/resources/connection/january-2013.aspx"""
Education,Online,Connection: Information pour les enseignants (Francais),education_tech,404,2013,"""http://education.alberta.ca/francais/connection/janv13/viewall.aspx"""
Education,Online,The Scoop,education_tech,200,2013,"""http://education.alberta.ca/media/6828248/january%202013.pdf"""
Education,Online,Quoi de neuf?,education_tech,200,2013,"""http://education.alberta.ca/media/6828252/quoi%20de%20neuf%20janvier%202013.pdf"""
Education,Online,Terminologie dans le programme d’études de mathématiques de l’Alberta,education_tech,200,2013,"""http://education.alberta.ca/media/6847159/terminologie0113.pdf"""
Education,Online,Alberta's High Quality Curriculum: Development and Implementation,education_tech,404,2013,"""http://education.alberta.ca/media/824183/curric_dev.pdf"""
Education,Online,Transformation in Progress: Alberta’s K-12 Education Workforce 2012/2013,education_tech,200,2013,"""http://education.alberta.ca/media/6850185/transformation-in-progress-february-2013-final.pdf"""
Education,Online,Student Health Provincial Summary of Annual Reports 2010/2011,education_tech,200,2013,"""http://education.alberta.ca/media/6851509/sh2010-2011annualreport.pdf.pdf"""
Education,Online,Alberta Accredited International Schools Handbook 2013,education_tech,200,2013,"""http://www.education.alberta.ca/media/1161937/accreditation_handbook.pdf"""
Education,Online,Funding Manual For School Authorities 2012/2013 School Year,education_tech,200,2013,"""http://education.alberta.ca/media/6858000/20132014fundingmanual.pdf"""
Education,Online,Education Plan D’activités 2013-2016,education_tech,200,2013,"""http://www.education.alberta.ca/media/6858066/20132016fr.pdf"""
Education,Online and Print,Education 2013-16 Business Plan,education_tech,200,2013,"""http://www.finance.alberta.ca/publications/budget/budget2013/education.pdf"""
Education,Online,Student Health Provincial Summary of Annual Reports 2010/2011 ,education_tech,200,2012,"""http://education.alberta.ca/media/6851509/sh2010-2011annualreport.pdf.pdf"""
Education,Online,Student Health Partnership: Updated Annual Report Guidelines for 2011/2012,education_tech,404,2012,
Education,Online and Print,Accountability Pillar Results for Annual Education Results Report (AERR),education_tech,200,2012,"""http://education.alberta.ca/media/6767038/apori_201210_province_report.pdf"""
Education,Online,Liste annotée de ressources pour l’éducation artistique: Niveau élémentaire,education_tech,200,2013,"""http://education.alberta.ca/media/6865165/ressourceselem2013.pdf"""
Education,Online,Les verbes employés dans les résultats d’apprentissage en mathématiques et les attentes associées,education_tech,200,2013,"""http://education.alberta.ca/media/6538886/verbesattentes.pdf"""
Elections Alberta,Print,"Report of the chief electoral officer on the 2011 provincial enumeration and Monday, April 23, 2012 provincial general election of the twenty-eighth Legislative Assembly.",government,404,2012,
Elections Alberta,Print,"Report of the chief electoral officer on the senate nominee election, Monday, April 23, 2012",government,404,2012,
Elections Alberta,Online,From Knowledge to Action: Shaping the Future of Curriculum Development in Alberta,government,200,2012,"""http://www.education.alberta.ca/media/6809205/a_front.pdf"""
Elections Alberta,Online,Spotlight on … Leadership,government,200,2013,"""http://education.alberta.ca/media/6828256/spotlight-on-leadership-jan-2013.pdf"""
Energy,Print,Unconventional resource guidebook + directory,energy_transportation,404,2012,
Energy,Print,Coal and mineral development in Alberta 2012 year in review,energy_transportation,404,2013,
Energy,Print,Talk about energy outlook 2011.,energy_transportation,404,2011,
Energy,Online and Print,"Power for the people: report and recommendations for the Minister of Energy, Government of Alberta",energy_transportation,200,2012,"""http://www.energy.alberta.ca/Electricity/pdfs/RMRCreport.pdf"""
Energy,Online and Print,Power for the people : highlights,energy_transportation,200,2012,"""http://www.energy.alberta.ca/Electricity/pdfs/RMRC_Highlights.pdf"""
Energy,Online and Print,Guideline for preparing mineral assessment reports in Alberta,energy_transportation,200,2013,"""http://www.energy.gov.ab.ca/minerals/pdfs/A_Guideline_for_Preparing_Mineral_Assessment_Reports_in_Alberta_-_CMD_GL-01_2013.pdf"""
Energy,Online,"Energy Update: gasoline and diesel prices, March 2013",energy_transportation,200,2013,"""http://www.energy.alberta.ca/org/pdfs/energyupdate.pdf"""
Energy,Online,Need for a northern Alberta development strategy,energy_transportation,200,2013,"""http://www.energy.alberta.ca/Org/pdfs/NABDevelopment.pdf"""
Energy,Online,Alberta's heavy oil prices,energy_transportation,200,2013,"""http://www.energy.alberta.ca/Org/pdfs/FSheavyOilPrices.pdf"""
Energy Resource Conservation Board,Online and Print,2013 orphan fund levy - ERCB Bulletin 2013-01,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-01.pdf"""
Energy Resource Conservation Board,Online and Print,Invitation for feedback - revisions to draft Directive 071: emergency preparedness and response requirements.  ERCB bulletin 2012-21,energy_transportation,200,2012,"""http://www.ercb.ca/bulletins/Bulletin-2012-21.pdf"""
Energy Resource Conservation Board,Online and Print,Application procedures and requirements for approval of activities located in or near the boundaries of the Lower Athabasca regional plan.  ERCB bulletin 2012-22.,energy_transportation,200,2012,"""http://www.ercb.ca/bulletins/Bulletin-2012-22.pdf"""
Energy Resource Conservation Board,Online and Print,Directive 081: water disposal limits and reporting requirements for thermal in situ oil sands schemes.  ERCB bulletin 2012-23,energy_transportation,200,2012,"""http://www.ercb.ca/bulletins/Bulletin-2012-23.pdf"""
Energy Resource Conservation Board,Online and Print,Invitation for feedback - hydraulic fracturing directive.  ERCB bulletin 2012-24,energy_transportation,200,2012,"""http://www.ercb.ca/bulletins/Bulletin-2012-24.pdf"""
Energy Resource Conservation Board,Online and Print,Amendments to Directive 059: well drilling and completion data filing requirements in support of disclosure of hydraulic fracturing fluid information.  ERCB bulletin 2012-25,energy_transportation,200,2012,"""http://www.ercb.ca/bulletins/Bulletin-2012-25.pdf"""
Energy Resource Conservation Board,Online and Print,Invitation for feedback on draft revision of Directive 065: resources applications for oil and gas reservoirs.  ERCB bulletin 2012-26,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2012-26.pdf"""
Energy Resource Conservation Board,Online and Print,Hydraulic fracturing.  ERCB draft directive XXX,energy_transportation,200,2012,"""http://www.ercb.ca/directives/Draft_Directive_Hydraulic_Fracturing.pdf"""
Energy Resource Conservation Board,Online and Print,Well drilling and completion data filing requirements.  ERCB directive 059,energy_transportation,200,2012,"""http://www.ercb.ca/directives/Directive059.pdf"""
Energy Resource Conservation Board,Online and Print,Water disposal limits and reporting requirements for thermal in situ oil sands schemes.  ERCB directive 081,energy_transportation,200,2012,"""http://www.ercb.ca/directives/Directive081.pdf"""
Energy Resource Conservation Board,Online and Print,Pressure and deliverability testing oil and gas wells,energy_transportation,200,2013,"""http://www.ercb.ca/directives/Directive040.pdf"""
Energy Resource Conservation Board,Online and Print,Invitation for feedback on proposed changes to administration of off-target oil and gas wells,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-06.pdf"""
Energy Resource Conservation Board,Online and Print,Operating criteria: resource recovery requirements for oil sands mine and processing plant operations,energy_transportation,200,2013,"""http://www.ercb.ca/directives/Directive082.pdf"""
Energy Resource Conservation Board,Online and Print,Well drilling and completion data filing requirements.,energy_transportation,200,2012,"""http://www.ercb.ca/directives/Directive059.pdf"""
Energy Resource Conservation Board,Online and Print,"Pembina Pipeline Corporation pipeline failures licence no. 2349, line no. 10 July 20 and August 15, 2011",energy_transportation,200,2013,"""http://www.ercb.ca/reports/IR_20130226-Pembina.pdf"""
Energy Resource Conservation Board,Online and Print,"Pengrowth Energy Corporation pipeline failure licence no. P4218, line no. 117 June 26, 2011",energy_transportation,200,2013,"""http://www.ercb.ca/reports/IR_20130226-Pengrowth.pdf"""
Energy Resource Conservation Board,Online and Print,Directive 039: revised program to reduce benzene emissions from glycol dehydrators updated,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-04.pdf"""
Energy Resource Conservation Board,Online and Print,Revised program to reduce benzene emissions from glycol dehydrators.  ERCB directive 039,energy_transportation,200,2013,"""http://www.ercb.ca/directives/Directive039.pdf"""
Energy Resource Conservation Board,Online and Print,Use of cellulosic welding consumables on ERCB-licensed pipelines.,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-08.pdf"""
Energy Resource Conservation Board,Online and Print,Field Surveillance and Operations Branch - field operations provincial summary 2011,energy_transportation,200,2013,"""http://www.ercb.ca/sts/ST57-2012.pdf"""
Energy Resource Conservation Board,Online and Print,Extension to feedback date for comments on draft hydraulic fracturing directive.  ERCB bulletin 2013-02,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-02.pdf"""
